Supplier;Code;Description;Quantity;Value;;;;;;;;;;;;;;;;;;;;;;
I86;B1484;I86 TUMBLER STAINLESS STEEL 5x5x8;3;25;;;;;;;;;;;;;;;;;;;;;;
I84;F7998;I84 THROW HANDLOOM SLUB WITH BIG FRINGE 127x177,8;8;189;;;;;;;;;;;;;;;;;;;;;;
I84;F7984;I84 THROW HANDLOOM STRIPE 127x177,8;4;105;;;;;;;;;;;;;;;;;;;;;;
I84;F8004;I84 RUG COTTON BLOCK PRINT ( B/W ) 91,44x152,4;3;97;;;;;;;;;;;;;;;;;;;;;;
I84;F8003;I84 RUG COTTON BLOCK PRINT ( B/W ) 121,92x182,88;2;92;;;;;;;;;;;;;;;;;;;;;;
I84;F8015;I84 POUF SQUARE RUG PRINT WITH HAND WORK INSIDE POLYESTER VISCOSE COTTON 60,96x60,96x20,32;1;81;;;;;;;;;;;;;;;;;;;;;;
I84;F7874;I84 BEDSPREAD COT. NEEDLEWORK;1;54;;;;;;;;;;;;;;;;;;;;;;
I84;F7985;I84 THROW HANDLOOM PATTA 127x177,8;1;24;;;;;;;;;;;;;;;;;;;;;;
I84;F7987;I84 THROW HANDLOOM CHECK DESIGN 127x177,8;1;24;;;;;;;;;;;;;;;;;;;;;;
I84;F7996;I84 THROW HANDLOOM STRIPE FUNDAWORK 127x177,8;1;24;;;;;;;;;;;;;;;;;;;;;;
I84;F7989;I84 THROW HANDLOOM 127x177,8;1;17;;;;;;;;;;;;;;;;;;;;;;
I8;L2711;I8 LAMP METAL + GLASS F36x88;1;133;;;;;;;;;;;;;;;;;;;;;;
I8;L2700;I8 LAMP METAL FILAMENT BULB 14x13x17;2;60;;;;;;;;;;;;;;;;;;;;;;
I8;L2706;I8 LAMP METAL FILAMENT BULB F22x25x16;1;46;;;;;;;;;;;;;;;;;;;;;;
I76;A6404BR;I76 PLACE MAT BAMBOO 30x45;5;4;;;;;;;;;;;;;;;;;;;;;;
I62;A6390;I62 CEMENT POT SQUARE 14x14x15;6;55;;;;;;;;;;;;;;;;;;;;;;
I62;A6354G;I62 JUG CERAMIC GREY H19;1;7;;;;;;;;;;;;;;;;;;;;;;
I62;A6343.2B;I62 VASE CERAMIC ROUND BLACK H21;1;6;;;;;;;;;;;;;;;;;;;;;;
I62;A6353;I62 VASE CERAMIC BLACK H25.5;1;5;;;;;;;;;;;;;;;;;;;;;;
I62;A6343.1B;I62 VASE CERAMIC ROUND BLACK H15;1;4;;;;;;;;;;;;;;;;;;;;;;
I51;A6371;I51 BAMBOO MORTAR;1;4;;;;;;;;;;;;;;;;;;;;;;
I51;A6370;I51 BAMBOO UTENSILES;1;2;;;;;;;;;;;;;;;;;;;;;;
I48;G1275L802-9;I48 POUF 408 65x80x80;6;814;;;;;;;;;;;;;;;;;;;;;;
I48;G1276L802-8;I48 POUF 323 80x70x90;2;309;;;;;;;;;;;;;;;;;;;;;;
I48;G1242FY05;I48 POUF 444 ABBESSES PEAR 99x80x94;2;271;;;;;;;;;;;;;;;;;;;;;;
I48;G1244L802-12;I48 POUF 722 75x180x32;1;258;;;;;;;;;;;;;;;;;;;;;;
I48;G1277L802-8;I48 POUF 296 60x40x35;2;92;;;;;;;;;;;;;;;;;;;;;;
I43;L1097;I43 TABLE LAMP METAL & ROUND CEMENT BASE F1;2;62;;;;;;;;;;;;;;;;;;;;;;
I42;A6238;I42 POT LABEL F13x16;1;8;;;;;;;;;;;;;;;;;;;;;;
I33;A7826;I33 TURQUISE ESCAPE 100ML REED DIFFUSER WITH 8 REEDS IN PAPER BOX;16;122;;;;;;;;;;;;;;;;;;;;;;
I33;A7825;I33 COSY CASHMERE 100ML REED DIFFUSER WITH 8 REEDS IN PAPER BOX;12;54;;;;;;;;;;;;;;;;;;;;;;
