Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
P14;A6801;P14 T-LIGHT GLASS PINK F7.5x10.5;4;2;6;12;48
P9;A6803;P9 DESSERT PLATE 2ASS TOUCANA GRN+YELLOW F2;144;0;0;12;1728
P5;A6805;P5 POT CERAMIC ARROW WG F14x13;1;6;6;22;22
P5;A6813;P5 VASE BALL GLASS BRONZE F14x10;5;7;34;26;130
P5;A6817.3;P5 CACHEPOT GRASS F20x21;1;6;6;19;19
B169;A6818.1N;B169 MIRROR REC.TEAK 60x4x80;13;38;494;180;2340
B169;A6819;B169 HANGER REC WOOD 100x4x12;2;11;22;85;170
;;;;;;;
P5;A6822;P5 DUCK WHITE WITH HAT MAGNESIA F46;2;15;31;58;116
P5;A6827.3;P5 BASKET BAMBOO BLACK F48x12;1;15;15;46;46
P5;A6830.1;P5 POT METAL RUST F29x34;1;16;16;58;58
B169;A6831;B169 SALAD BOWL TEAK PYC 24x24X12;6;0;0;55;330
B169;A6833.2;B169 CUTTING BOARD PYC 40x2.5x18;1;0;0;35;35
I17;A6840;I17 POT PAPER MACHI FLOWERS;1;0;0;45;45
I17;A6841;I17 POT PAPER MACHI SMALL MIRRORS;1;0;0;85;85
I17;A6844.1;I17 DECO STAND PINK FLOWERS RECT;1;0;0;185;185
I17;A6844.2;I17 DECO STAND PINK FLOWERS SQUARE 36x6,5x53;1;0;0;285;285
I17;A6848;I17 VASE WOODEN + BRASS;1;0;0;55;55
I17;A6849;I17 IRON WITH  WOODEN HANDLE;5;0;0;45;225
I17;A6852;I17 BACKET IRON PAINTED F18x23;2;0;0;25;50
I17;A6858;I17 PARAVAN 3PCS WOOD;2;0;0;375;750
I17;A6859;I17 WOODEN BOX 47x32x22;1;0;0;135;135
B175;A6882.3;B175  BASKET NIGRITA F50 H72;1;5;5;55;55
B185;A6899;B185 VASE ANTIQUE 50x50x40;1;21;21;115;115
B185;A6903;B185 VASE ANTIQUE 35x35x35;3;19;56;105;315
B185;A6904;B185 VASE BURNING 28x28x45;1;14;14;80;80
B185;A6905AWBUR;B185 VASE BURNING 28x28x40;1;14;14;80;80
;;;;;;;
B185;A6909;B185 VASE BURNING 30x30X55;3;19;56;105;315
B185;A6911;B185 BUDDHA 62x35x85;4;21;82;115;460
B185;A6912;B185 BUDDHA HOLDING BOWL 60x43x75;4;21;82;115;460
B185;A6914;B185 BULLDOG 55x30x20;4;10;40;55;220
B185;A6917;B185 BUDDHA 45x35x65;3;37;111;185;555
B169;A6920.1;B169 ZENIA ANTIQUE 95x40x90;10;54;536;365;3650
;A6923;ROUND BLACK BOWL 25x15;4;0;0;35;140
B176;A6932.1;B176 BASKET SEAGRASS F32 H50;2;10;20;35;70
B176;A6932.2;B176 BASKET SEAGRASS F36 H57;4;10;40;45;180
B176;A6932.3;B176 BASKET SEAGRASS F39 H59;10;10;100;65;650
B173;A6936;B173 BAMBOO PARAVAN 150x2x172;2;6;11;135;270
B173;A6937;B173 STAIRS BAMBOO 50x34x152;24;5;108;35;840
B176;A6941.1;B176 BASKET BANANA F28 H39;18;8;135;15;270
B176;A6941.2;B176 BASKET BANANA F31 H49;17;8;128;35;595
B176;A6941.3;B176 BASKET BANANA F37 H51;14;8;105;45;630
B176;A6941.4;B176 BASKET BANANA F40 H54;18;8;135;65;1170
B173;A6942;B173 MIRROR F76;2;19;37;75;150
B173;A6946;B173 BAMBOO LEAF H200;7;1;8;12;84
B173;A6948;B173 BAMBOO LEAF H200;10;2;15;12;120
;;;;;;;
